1233k  223.10.34.47:8083
1191k  110.178.52.91:8083
1186k  110.178.52.91:8085
1177k  110.178.52.91:8082
1175k  110.178.52.143:8084
1171k  110.178.52.91:8084
1171k  1.70.32.50:8084
1093k  110.179.81.83:8082
1060k  1.70.32.50:8085
1058k  1.70.32.50:8082
1057k  110.179.81.83:8083
1050k  110.178.52.143:8083
1049k  1.70.32.50:8083
1047k  223.10.34.47:8082
1041k  223.10.36.100:8082
1041k  110.178.52.143:8085
1035k  1.70.35.100:8082
1018k  110.178.52.143:8082
926k  223.10.36.100:8083
777k  110.179.80.226:8083
716k  110.179.80.226:8084
481k  110.179.80.226:8082
