1260k  125.125.180.16:7443
1087k  125.125.180.16:50060
1069k  125.125.180.16:9183
1069k  125.125.180.16:1951
1069k  115.230.209.108:9999
1002k  125.125.180.16:8888
874k  125.125.180.16:58888
861k  125.125.180.16:8889
840k  125.125.180.16:9999
837k  125.125.180.16:8848
772k  125.125.180.16:7000
730k  125.125.180.16:1720
541k  125.125.180.16:20000
472k  125.125.180.16:9162
470k  125.125.180.16:1452
337k  125.125.180.16:161
329k  125.125.180.16:44305
275k  125.125.180.16:3097
258k  125.125.180.16:3095
258k  125.125.180.16:25005
181k  36.25.100.192:9999
